document_id,page,total_pages,status,reason,raw_chars,clean_chars,chunks_generated
ai_risk_management_framework_NIST_2023,36,48,INDEXED,,2872,2346,3
ai_risk_management_framework_NIST_2023,37,48,INDEXED,,2931,2222,3
ai_risk_management_framework_NIST_2023,38,48,INDEXED,,2993,2621,3
ai_risk_management_framework_NIST_2023,39,48,INDEXED,,609,434,1
ai_risk_management_framework_NIST_2023,40,48,INDEXED,,3266,3080,4
ai_risk_management_framework_NIST_2023,41,48,INDEXED,,3233,2983,3
ai_risk_management_framework_NIST_2023,42,48,INDEXED,,2207,2021,2
ai_risk_management_framework_NIST_2023,43,48,INDEXED,,2994,2657,3
ai_risk_management_framework_NIST_2023,44,48,INDEXED,,2856,2590,3
ai_risk_management_framework_NIST_2023,45,48,INDEXED,,2971,2660,4
ai_risk_management_framework_NIST_2023,46,48,INDEXED,,2321,2122,2
ai_risk_management_framework_NIST_2023,47,48,INDEXED,,2746,2410,3
ai_risk_management_framework_NIST_2023,48,48,NONINFORMATIVE_REMOVED,boilerplate_or_url_only,98,88,0
aiml_samd_action_plan_FDA_2021,1,8,INDEXED,,354,180,1
aiml_samd_action_plan_FDA_2021,2,8,INDEXED,,3399,3271,4
aiml_samd_action_plan_FDA_2021,3,8,INDEXED,,3487,3356,4
aiml_samd_action_plan_FDA_2021,4,8,INDEXED,,3235,3105,4
aiml_samd_action_plan_FDA_2021,5,8,INDEXED,,3686,3556,4
aiml_samd_action_plan_FDA_2021,6,8,INDEXED,,3701,3573,4
aiml_samd_action_plan_FDA_2021,7,8,INDEXED,,3263,3131,3
aiml_samd_action_plan_FDA_2021,8,8,INDEXED,,2791,2609,3
codigo_etica_medica_CFM_2019,1,110,NONINFORMATIVE_REMOVED,boilerplate_or_url_only,57,57,0
codigo_etica_medica_CFM_2019,2,110,RAW_EMPTY,raw_text_empty,0,0,0
codigo_etica_medica_CFM_2019,3,110,INDEXED,,244,180,1
codigo_etica_medica_CFM_2019,4,110,INDEXED,,1099,1024,2
codigo_etica_medica_CFM_2019,5,110,RAW_EMPTY,raw_text_empty,0,0,0
codigo_etica_medica_CFM_2019,6,110,RAW_EMPTY,raw_text_empty,0,0,0
codigo_etica_medica_CFM_2019,7,110,NONINFORMATIVE_REMOVED,toc_start,1514,1461,0
codigo_etica_medica_CFM_2019,8,110,NONINFORMATIVE_REMOVED,toc_continuation,1443,1416,0
codigo_etica_medica_CFM_2019,9,110,INDEXED,,1801,1655,2
codigo_etica_medica_CFM_2019,10,110,INDEXED,,2005,1791,2
codigo_etica_medica_CFM_2019,11,110,INDEXED,,585,411,1
codigo_etica_medica_CFM_2019,12,110,RAW_EMPTY,raw_text_empty,0,0,0
codigo_etica_medica_CFM_2019,13,110,INDEXED,,1668,1480,2
codigo_etica_medica_CFM_2019,14,110,INDEXED,,1272,1035,1
codigo_etica_medica_CFM_2019,15,110,INDEXED,,1812,1659,2
codigo_etica_medica_CFM_2019,16,110,RAW_EMPTY,raw_text_empty,0,0,0
codigo_etica_medica_CFM_2019,17,110,INDEXED,,1655,1500,2
codigo_etica_medica_CFM_2019,18,110,INDEXED,,2109,1868,2
codigo_etica_medica_CFM_2019,19,110,INDEXED,,1856,1715,2
codigo_etica_medica_CFM_2019,20,110,RAW_EMPTY,raw_text_empty,0,0,0
codigo_etica_medica_CFM_2019,21,110,INDEXED,,1658,1516,2
codigo_etica_medica_CFM_2019,22,110,INDEXED,,1091,961,1
codigo_etica_medica_CFM_2019,23,110,INDEXED,,1680,1429,2
codigo_etica_medica_CFM_2019,24,110,INDEXED,,1981,1703,2
codigo_etica_medica_CFM_2019,25,110,INDEXED,,1549,1410,2
codigo_etica_medica_CFM_2019,26,110,RAW_EMPTY,raw_text_empty,0,0,0
codigo_etica_medica_CFM_2019,27,110,INDEXED,,1596,1439,2
codigo_etica_medica_CFM_2019,28,110,INDEXED,,576,497,1
codigo_etica_medica_CFM_2019,29,110,INDEXED,,1702,1555,2
codigo_etica_medica_CFM_2019,30,110,INDEXED,,2009,1777,2
codigo_etica_medica_CFM_2019,31,110,INDEXED,,912,770,1
codigo_etica_medica_CFM_2019,32,110,RAW_EMPTY,raw_text_empty,0,0,0
codigo_etica_medica_CFM_2019,33,110,INDEXED,,1683,1535,2
codigo_etica_medica_CFM_2019,34,110,INDEXED,,574,492,1
codigo_etica_medica_CFM_2019,35,110,INDEXED,,1573,1416,2
codigo_etica_medica_CFM_2019,36,110,INDEXED,,1562,1381,2
codigo_etica_medica_CFM_2019,37,110,INDEXED,,1727,1584,2
codigo_etica_medica_CFM_2019,38,110,INDEXED,,306,263,1
codigo_etica_medica_CFM_2019,39,110,INDEXED,,1546,1393,2
codigo_etica_medica_CFM_2019,40,110,INDEXED,,1459,1276,2
codigo_etica_medica_CFM_2019,41,110,INDEXED,,1694,1542,2
codigo_etica_medica_CFM_2019,42,110,RAW_EMPTY,raw_text_empty,0,0,0
codigo_etica_medica_CFM_2019,43,110,INDEXED,,1662,1512,2
codigo_etica_medica_CFM_2019,44,110,INDEXED,,2020,1799,2
codigo_etica_medica_CFM_2019,45,110,INDEXED,,1540,1390,2
codigo_etica_medica_CFM_2019,46,110,RAW_EMPTY,raw_text_empty,0,0,0
codigo_etica_medica_CFM_2019,47,110,INDEXED,,981,839,1
codigo_etica_medica_CFM_2019,48,110,RAW_EMPTY,raw_text_empty,0,0,0
codigo_etica_medica_CFM_2019,49,110,INDEXED,,1563,1433,2
codigo_etica_medica_CFM_2019,50,110,INDEXED,,1861,1685,2
codigo_etica_medica_CFM_2019,51,110,INDEXED,,890,691,1
codigo_etica_medica_CFM_2019,52,110,RAW_EMPTY,raw_text_empty,0,0,0
codigo_etica_medica_CFM_2019,53,110,NONINFORMATIVE_REMOVED,boilerplate_or_url_only,97,32,0
codigo_etica_medica_CFM_2019,54,110,RAW_EMPTY,raw_text_empty,0,0,0
codigo_etica_medica_CFM_2019,55,110,NONINFORMATIVE_REMOVED,subject_index_start,1321,684,0
codigo_etica_medica_CFM_2019,56,110,NONINFORMATIVE_REMOVED,subject_index_continuation,1553,878,0
codigo_etica_medica_CFM_2019,57,110,NONINFORMATIVE_REMOVED,subject_index_continuation,1561,780,0
codigo_etica_medica_CFM_2019,58,110,NONINFORMATIVE_REMOVED,subject_index_continuation,1659,702,0
codigo_etica_medica_CFM_2019,59,110,NONINFORMATIVE_REMOVED,subject_index_continuation,1432,730,0
codigo_etica_medica_CFM_2019,60,110,NONINFORMATIVE_REMOVED,subject_index_continuation,1582,809,0
codigo_etica_medica_CFM_2019,61,110,NONINFORMATIVE_REMOVED,subject_index_continuation,1369,710,0
codigo_etica_medica_CFM_2019,62,110,NONINFORMATIVE_REMOVED,subject_index_continuation,1573,798,0
codigo_etica_medica_CFM_2019,63,110,NONINFORMATIVE_REMOVED,subject_index_continuation,1397,729,0
codigo_etica_medica_CFM_2019,64,110,NONINFORMATIVE_REMOVED,subject_index_continuation,1751,741,0
codigo_etica_medica_CFM_2019,65,110,NONINFORMATIVE_REMOVED,subject_index_continuation,1295,653,0
codigo_etica_medica_CFM_2019,66,110,NONINFORMATIVE_REMOVED,subject_index_continuation,1573,721,0
codigo_etica_medica_CFM_2019,67,110,NONINFORMATIVE_REMOVED,subject_index_continuation,1397,785,0
codigo_etica_medica_CFM_2019,68,110,NONINFORMATIVE_REMOVED,subject_index_continuation,1321,829,0
codigo_etica_medica_CFM_2019,69,110,NONINFORMATIVE_REMOVED,subject_index_continuation,1336,581,0
codigo_etica_medica_CFM_2019,70,110,NONINFORMATIVE_REMOVED,subject_index_continuation,1504,817,0
codigo_etica_medica_CFM_2019,71,110,NONINFORMATIVE_REMOVED,subject_index_continuation,1418,727,0
codigo_etica_medica_CFM_2019,72,110,NONINFORMATIVE_REMOVED,subject_index_continuation,1583,828,0
codigo_etica_medica_CFM_2019,73,110,NONINFORMATIVE_REMOVED,subject_index_continuation,1381,719,0
codigo_etica_medica_CFM_2019,74,110,NONINFORMATIVE_REMOVED,subject_index_continuation,1545,759,0
codigo_etica_medica_CFM_2019,75,110,NONINFORMATIVE_REMOVED,subject_index_continuation,1647,742,0
codigo_etica_medica_CFM_2019,76,110,NONINFORMATIVE_REMOVED,subject_index_continuation,1509,780,0
codigo_etica_medica_CFM_2019,77,110,NONINFORMATIVE_REMOVED,subject_index_continuation,1455,718,0
codigo_etica_medica_CFM_2019,78,110,NONINFORMATIVE_REMOVED,subject_index_continuation,1804,768,0
codigo_etica_medica_CFM_2019,79,110,NONINFORMATIVE_REMOVED,subject_index_continuation,1516,727,0
codigo_etica_medica_CFM_2019,80,110,NONINFORMATIVE_REMOVED,subject_index_continuation,1496,778,0
codigo_etica_medica_CFM_2019,81,110,NONINFORMATIVE_REMOVED,subject_index_continuation,1502,703,0
codigo_etica_medica_CFM_2019,82,110,NONINFORMATIVE_REMOVED,subject_index_continuation,470,281,0
codigo_etica_medica_CFM_2019,83,110,INDEXED,,705,553,1
codigo_etica_medica_CFM_2019,84,110,INDEXED,,1416,1228,1
codigo_etica_medica_CFM_2019,85,110,INDEXED,,1436,1315,2
codigo_etica_medica_CFM_2019,86,110,RAW_EMPTY,raw_text_empty,0,0,0
codigo_etica_medica_CFM_2019,87,110,INDEXED,,1607,1480,2
codigo_etica_medica_CFM_2019,88,110,INDEXED,,1731,1579,2
codigo_etica_medica_CFM_2019,89,110,INDEXED,,1772,1654,2
codigo_etica_medica_CFM_2019,90,110,INDEXED,,1776,1630,2
codigo_etica_medica_CFM_2019,91,110,INDEXED,,1842,1720,2
codigo_etica_medica_CFM_2019,92,110,INDEXED,,660,602,1
codigo_etica_medica_CFM_2019,93,110,INDEXED,,863,690,1
codigo_etica_medica_CFM_2019,94,110,INDEXED,,984,759,1
codigo_etica_medica_CFM_2019,95,110,INDEXED,,837,671,1
codigo_etica_medica_CFM_2019,96,110,INDEXED,,969,763,1
codigo_etica_medica_CFM_2019,97,110,INDEXED,,939,769,1
codigo_etica_medica_CFM_2019,98,110,INDEXED,,978,760,1
codigo_etica_medica_CFM_2019,99,110,INDEXED,,814,670,1
codigo_etica_medica_CFM_2019,100,110,INDEXED,,875,674,1
codigo_etica_medica_CFM_2019,101,110,INDEXED,,834,683,1
codigo_etica_medica_CFM_2019,102,110,INDEXED,,307,245,1
codigo_etica_medica_CFM_2019,103,110,INDEXED,,1130,568,1
codigo_etica_medica_CFM_2019,104,110,RAW_EMPTY,raw_text_empty,0,0,0
codigo_etica_medica_CFM_2019,105,110,INDEXED,,989,837,1
codigo_etica_medica_CFM_2019,106,110,INDEXED,,1076,872,1
codigo_etica_medica_CFM_2019,107,110,INDEXED,,333,221,1
codigo_etica_medica_CFM_2019,108,110,RAW_EMPTY,raw_text_empty,0,0,0
codigo_etica_medica_CFM_2019,109,110,RAW_EMPTY,raw_text_empty,0,0,0
